#Izenburua,Deskribapena
Hiri-lurren balio-gehikuntzaren gaineko zerga,"HLBGZ tributu zuzena da eta lurrek izandako balio-igoera kargatzen du pertsona bat etxebizitza, aparkaleku, trasteleku, lokal, lursail eta abarren jabea izan den bitartean. Etxebizitza, garaje-plaza, trasteleku, denda, etxe eta abarrak saltzen dituenak ordaindu behar du zerga hori, jabea izan den bitartean lurrak izandako balio-igoeragatik. Oinordetzaren edo dohaintzaren kasuan, jabe berriak ordaindu behar du zerga. Udalak egiten du zergaren kudeaketa osoa."
Tasa eta prezio publikoak,"Udalak herritarrentzat bereziki onuragarriak edo interesgarriak diren jarduerak egiten dituenean, tasa edo prezio publikoak eska ditzake. Tasa bat ere eskatuko du partikular baten alde bide publikoaren aprobetxamendu berezia gertatzen denean. Tasa eskatzen den ohiko jarduerak dira, adibidez, zaborrak biltzea edota hirigintzako lizentzia edo ibia ematea. Jabari publikoari edo Udalak egiten duen zerbitzu edo jarduera bati onura ateratzen dion pertsonak ordaindu behar du tasa. Udalak zehazten du ordenantza fiskalen bidez tasaren zenbatekoa. Tasa baten eta prezio publiko baten arteko aldea hau da: Udalak bakarrik ematen dituen zerbitzuetarako ezartzen da tasa (ibiak, adibidez), eta prezio publikoa, berriz, enpresa pribatu batek ere eman ditzakeen zerbitzuetarako erabiltzen da (kirol-instalazioetarako sarrerak, haur-eskolak, etab., besteak beste)."
Kontribuzio bereziak,"Udalak obra publikoak egiten dituenean edo zerbitzuak ezartzen dituenean eta herritarrek haietatik onurak ateratzea edo ondasunen balioa handitzea lortzen dutenean, kontribuzio bereziak eska daitezke."
Aurrekontu-emaitza doitua,"Aurrekontu-emaitza doitua aurrekontuaren likidazio-egoeraren zatia da eta bi hauen arteko aldea da: ekitaldian likidatutako kobratzeko eskubideak eta aldi berean aitortutako ordaintzeko obligazioak. Horrenbestez, Udalaren ekitaldiko superabita edo defizita adierazten duen magnitudea da. Aurrekontu-emaitza doitu egin behar da gastu orokorretarako diruzaintzako soberakinen bitartez finantzatutako obligazioekin eta eragindako finantzaketa-gastuen ondorioz ekitaldian izan diren finantzaketa-desbideratzeekin, horrelakoek aurrekontu-emaitza aldatzen dute eta. Baldin eta ekitaldiko aurrekontu-emaitza doitua negatiboa bada, aztertu eta, hala badagokio, zuzendu beharreko finantza-egoera dugu aurrean, saldo horrek erakusten baitu ekitaldian aitortutako eskubideak ez direla gai aldi horretan sortutako obligazioei aurre egiteko eta ez dela betetzen, horrenbestez, aurrekontu-egonkortasunaren printzipioa."
Gastu orokorretarako diruzaintzako soberakina,"Gastu orokorretarako diruzaintzako soberakina aurrekontuaren likidazio-egoeraren zati bat da, eta eragiketa honetatik ateratzen da: kobratu gabe dauden eskubideen batura (ekitaldi berekoak eta aurrekokoak) gehi diruzaintzako funts likidoak ken ordaintzeko dauden kredituak (ekitaldi berekoak eta aurrekokoak). Magnitude horrek ez du diruzaintzako soberakinik adierazten, aitortutako eskubide guztiak kobratuko balira eta aitortutako obligazio guztiak ordainduko balira (aurrekontukoak zein aurrekontutik kanpokoak) lortuko zatekeen emaitza likidoa baizik, eragindako finantzaketa-desbideratze positibo metatuak kontuan hartuta betiere."
Aurrezki garbia,"Aurrezki garbiaren magnitudea toki-erakundearen egoera finantzarioaren adierazlea da, eta zorpetzearen finantza-kargari epemugan erantzun ahal izango zaion adierazten du. Honela kalkulatzen da: zergei, tasei eta prezio publikoei, transferentzia korronteei eta ondarezko diru-sarrerei dagozkien diru-sarrera likidatuen batura ken langileei, ondasun korronteei eta zerbitzuei zein transferentzia korronteei buruzko gastuak (gastu orokorretarako diruzaintzako soberakinarekin finantzatutako gastuak ez daude jasota). Emaitza horri, gainera, epe luzera hitzartutako maileguei eta ordaindu gabe dauden hirugarrenentzako abalei dagokien amortizazioaren urteko kuota teorikoa kendu behar zaio."
Ordaintzeko batez besteko epea,"Ordaintzeko batez besteko epea izeneko adierazleak hornitzailearen kargu-ondasunak entregatzen direnetik edo zerbitzuak ematen direnetik eragiketaren ordainketa materiala egiten den unera arte igarotzen den epea neurtzen du. Indarrean den araudiaren arabera epe hori 30 egunekoa izango da gehienez."
Finantzaketa-ahalmena,"Udal baten finantzaketa-ahalmena edo -beharra diru-sarrera ez-finantzarioen eta gastu ez-finantzarioen arteko diferentzia gisa neurtzen da. Emaitza positiboa denean (finantzaketa-ahalmena), horrek esan nahi du erakundeak finantzaketa-ahalmena edo aurrekontu ez-finantzarioko superabita duela. Emaitza negatiboa bada, ordea, erakundeak finantzaketa behar duela adierazten du, hau da, zorpetzera jo behar duela."
Gastu-araua,"Gastu-arauak gastu-muga ezartzen du administrazio publikoen aurrekontuetan. Indarreko araudiaren arabera, udalaren aurrekontuaren gastu konputagarriak ezin du gainditu Espainiako ekonomiaren epe ertaineko barne-produktu gordinaren (BPGd) erreferentzia-tasa, eta soberakin hori diru-sarreren igoera iraunkorrekin konpentsatzen bada baino ezin dute gainditu erreferentzia hori."
Zor bizia,"Finantza-erakundeekiko epe luzeko maileguen eta abalen ondorioz udalak ordaindu gabe duen zor osoa da zor bizia, hau da, amortizatu gabe dagoen kapitalaren eta sortutako interesen arteko batura."
