#Título,Descripción
Impost sobre l’increment de valor dels terrenys de naturalesa urbana,"L’IIVTNU és un tribut directe que grava l’increment de valor que ha experimentat un terreny mentre una persona ha estat propietària d’un pis, aparcament, traster, local, terreny, etc. Ha de pagar aquest impost la persona que ven un pis, una plaça de garatge, un traster, una botiga, una casa, etc., per l’increment del valor que ha experimentat el terreny mentre n’ha estat propietària. En cas d’herència o donació, és el nou propietari qui ha de pagar l’impost. La gestió d’aquest impost és íntegrament municipal."
Taxes i preus públics,"Quan l’Ajuntament fa activitats que beneficien o interessen particularment els ciutadans, pot exigir taxes o preus públics. També s’exigirà una taxa quan tingui lloc l’aprofitament especial de les vies públiques a favor d’un particular. Exemples típics d’activitats per les quals s’exigeix una taxa són la recollida d’escombraries, la concessió d’una llicència urbanística o el gual. Ha de pagar la taxa la persona que es beneficia del domini públic o d’un servei o activitat duta a terme per l’Ajuntament. És l’Ajuntament qui determina mitjançant les ordenances fiscals l’import de la taxa. La diferència entre una taxa i un preu públic  és que la taxa s’estableix per a serveis que només presta l’Ajuntament (exemple: guals) i el preu públic s’utilitza per a aquells serveis que també pot prestar l’empresa privada (exemple: escoles bressol)."
Contribucions especials,"Quan l’Ajuntament du a terme obres públiques o estableix serveis dels quals el ciutadà obté un benefici o a través dels quals incrementa el valor dels seus béns, es poden exigir contribucions especials."
Resultat pressupostari ajustat,"El resultat pressupostari forma part de l’estat de liquidació del pressupost i és la diferència entre els drets de cobrament que s’han liquidat en l’exercici i les obligacions de pagament reconegudes en el mateix període. Per tant, és una magnitud que reflecteix el superàvit o dèficit de l’exercici de l’Ajuntament.  El resultat pressupostari s’ha d’ajustar amb les obligacions que es financen amb romanent de tresoreria per a despeses generals i les desviacions de finançament de l’exercici derivades de les despeses amb finançament afectat, ja que aquestes circumstàncies distorsionen el resultat pressupostari. Quan el resultat pressupostari ajustat de l’exercici és negatiu, estem davant d’una situació financera que ha de ser analitzada i si és el cas corregida, ja que l’esmentat saldo manifesta la incapacitat dels drets reconeguts de l’exercici per atendre les obligacions generades en aquest, i per tant un incompliment del principi d’estabilitat pressupostària. "
Romanent de tresoreria per a despeses generals,"El romanent de tresoreria per a despeses generals forma part de l’estat de liquidació del pressupost i és la suma dels drets pendents de cobrament (del mateix exercici i dels anteriors) més els fons líquids de tresoreria menys els crèdits pendents de pagament (del mateix exercici i dels anteriors). Tot i la denominació de “romanent líquid de tresoreria”, aquesta magnitud no significa un sobrant líquid de tresoreria. És senzillament el resultat líquid que s’obtindria en l’hipotètic supòsit que es cobressin tots els drets reconeguts (no provisionals) i es paguessin totes les obligacions reconegudes, tant d’operacions pressupostàries com no pressupostàries, tenint en compte les desviacions de finançament afectat positives acumulades."
Estalvi net,"La magnitud de l’estalvi és un indicador de la situació financera de l’entitat local, de la capacitat de poder atendre al seu venciment la càrrega financera de l’endeutament. Es calcula de la forma següent: suma dels ingressos liquidats corresponents a impostos, taxes i preus públics, transferències corrents i ingressos patrimonials menys les despeses relatives a personal, béns corrents i serveis i transferències corrents (es tenen en compte les despeses finançades amb romanent de tresoreria per a despeses generals). A aquest resultat se li ha de restar l’anualitat teòrica d’amortització corresponent als préstecs concertats a llarg termini i als avals a tercers pendents de reemborsar."
Període mitjà de pagament,L’indicador <i>Període mitjà de pagament</i> (PMP) mesura el termini de pagament als proveïdors que presten serveis a l’Ajuntament (segons la normativa vigent aquest termini no pot superar els 30 dies).
Capacitat de finançament,"La capacitat o necessitats de finançament d’un Ajuntament es mesuren com les diferències entre els ingressos no financers i les despeses no financeres. Quan el resultat és positiu (capacitat de finançament), indica que l’entitat té capacitat de finançament o superàvit pressupostari no financer. En canvi, si el resultat és negatiu, indica que l’entitat necessita finançament, és a dir, que ha de recórrer a l’endeutament."
Regla de la despesa,"La regla de la despesa estableix un sostre de despesa per al pressupost de les administracions públiques. Aquesta regla introduïda per la Llei orgànica 2/2012, de 27 d’abril, d’estabilitat pressupostaria i sostenibilitat financera, és d’obligat compliment i determina que la despesa computable del pressupost de l’Ajuntament no pot superar la taxa de referència del producte interior brut (PIB) a mitjà termini."
Deute viu,"El deute viu és la totalitat de deute pendent de pagar que té l’Ajuntament procedent de préstecs a llarg termini amb entitats financeres i avals. És a dir, és el capital pendent d’amortitzar més els interessos generats."
